UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 13:13 ?        00:00:01 /sbin/init
root         2     0  0 13:13 ?        00:00:00 [kthreadd]
root         3     2  0 13:13 ?        00:00:00 [ksoftirqd/0]
root         4     2  0 13:13 ?        00:00:00 [kworker/0:0]
root         5     2  0 13:13 ?        00:00:00 [kworker/0:0H]
root         7     2  0 13:13 ?        00:00:02 [rcu_sched]
root         8     2  0 13:13 ?        00:00:00 [rcuos/0]
root         9     2  0 13:13 ?        00:00:00 [rcuos/1]
root        10     2  0 13:13 ?        00:00:00 [rcuos/2]
root        11     2  0 13:13 ?        00:00:00 [rcuos/3]
root        12     2  0 13:13 ?        00:00:00 [rcuos/4]
root        13     2  0 13:13 ?        00:00:00 [rcuos/5]
root        14     2  0 13:13 ?        00:00:00 [rcuos/6]
root        15     2  0 13:13 ?        00:00:00 [rcuos/7]
root        16     2  0 13:13 ?        00:00:00 [rcuos/8]
root        17     2  0 13:13 ?        00:00:00 [rcuos/9]
root        18     2  0 13:13 ?        00:00:00 [rcuos/10]
root        19     2  0 13:13 ?        00:00:00 [rcuos/11]
root        20     2  0 13:13 ?        00:00:00 [rcuos/12]
root        21     2  0 13:13 ?        00:00:00 [rcuos/13]
root        22     2  0 13:13 ?        00:00:00 [rcuos/14]
root        23     2  0 13:13 ?        00:00:00 [rcuos/15]
root        24     2  0 13:13 ?        00:00:00 [rcuos/16]
root        25     2  0 13:13 ?        00:00:00 [rcuos/17]
root        26     2  0 13:13 ?        00:00:00 [rcuos/18]
root        27     2  0 13:13 ?        00:00:00 [rcuos/19]
root        28     2  0 13:13 ?        00:00:00 [rcuos/20]
root        29     2  0 13:13 ?        00:00:00 [rcuos/21]
root        30     2  0 13:13 ?        00:00:00 [rcuos/22]
root        31     2  0 13:13 ?        00:00:00 [rcuos/23]
root        32     2  0 13:13 ?        00:00:00 [rcuos/24]
root        33     2  0 13:13 ?        00:00:00 [rcuos/25]
root        34     2  0 13:13 ?        00:00:00 [rcuos/26]
root        35     2  0 13:13 ?        00:00:00 [rcuos/27]
root        36     2  0 13:13 ?        00:00:00 [rcuos/28]
root        37     2  0 13:13 ?        00:00:00 [rcuos/29]
root        38     2  0 13:13 ?        00:00:00 [rcuos/30]
root        39     2  0 13:13 ?        00:00:00 [rcuos/31]
root        40     2  0 13:13 ?        00:00:00 [rcuos/32]
root        41     2  0 13:13 ?        00:00:00 [rcuos/33]
root        42     2  0 13:13 ?        00:00:00 [rcuos/34]
root        43     2  0 13:13 ?        00:00:00 [rcuos/35]
root        44     2  0 13:13 ?        00:00:00 [rcuos/36]
root        45     2  0 13:13 ?        00:00:00 [rcuos/37]
root        46     2  0 13:13 ?        00:00:00 [rcuos/38]
root        47     2  0 13:13 ?        00:00:00 [rcuos/39]
root        48     2  0 13:13 ?        00:00:00 [rcuos/40]
root        49     2  0 13:13 ?        00:00:00 [rcuos/41]
root        50     2  0 13:13 ?        00:00:00 [rcuos/42]
root        51     2  0 13:13 ?        00:00:00 [rcuos/43]
root        52     2  0 13:13 ?        00:00:00 [rcuos/44]
root        53     2  0 13:13 ?        00:00:00 [rcuos/45]
root        54     2  0 13:13 ?        00:00:00 [rcuos/46]
root        55     2  0 13:13 ?        00:00:00 [rcuos/47]
root        56     2  0 13:13 ?        00:00:00 [rcuos/48]
root        57     2  0 13:13 ?        00:00:00 [rcuos/49]
root        58     2  0 13:13 ?        00:00:00 [rcuos/50]
root        59     2  0 13:13 ?        00:00:00 [rcuos/51]
root        60     2  0 13:13 ?        00:00:00 [rcuos/52]
root        61     2  0 13:13 ?        00:00:00 [rcuos/53]
root        62     2  0 13:13 ?        00:00:00 [rcuos/54]
root        63     2  0 13:13 ?        00:00:00 [rcuos/55]
root        64     2  0 13:13 ?        00:00:00 [rcuos/56]
root        65     2  0 13:13 ?        00:00:00 [rcuos/57]
root        66     2  0 13:13 ?        00:00:00 [rcuos/58]
root        67     2  0 13:13 ?        00:00:00 [rcuos/59]
root        68     2  0 13:13 ?        00:00:00 [rcuos/60]
root        69     2  0 13:13 ?        00:00:00 [rcuos/61]
root        70     2  0 13:13 ?        00:00:00 [rcuos/62]
root        71     2  0 13:13 ?        00:00:00 [rcuos/63]
root        72     2  0 13:13 ?        00:00:00 [rcu_bh]
root        73     2  0 13:13 ?        00:00:00 [rcuob/0]
root        74     2  0 13:13 ?        00:00:00 [rcuob/1]
root        75     2  0 13:13 ?        00:00:00 [rcuob/2]
root        76     2  0 13:13 ?        00:00:00 [rcuob/3]
root        77     2  0 13:13 ?        00:00:00 [rcuob/4]
root        78     2  0 13:13 ?        00:00:00 [rcuob/5]
root        79     2  0 13:13 ?        00:00:00 [rcuob/6]
root        80     2  0 13:13 ?        00:00:00 [rcuob/7]
root        81     2  0 13:13 ?        00:00:00 [rcuob/8]
root        82     2  0 13:13 ?        00:00:00 [rcuob/9]
